country,date,total
United States,2020-01-27,5.0
United States,2020-02-03,11.0
United States,2020-02-10,12.0
United States,2020-02-17,14.0
United States,2020-02-24,16.0
United States,2020-03-02,55.0
United States,2020-03-09,594.0
United States,2020-03-16,4679.0
United States,2020-03-23,46086.0
United States,2020-03-30,165861.0
United States,2020-04-06,382613.0
United States,2020-04-13,598310.0
United States,2020-04-20,799212.0
United States,2020-04-27,1000298.0
United States,2020-05-04,1191044.0
United States,2020-05-11,1357483.0
United States,2020-05-18,1517141.0
United States,2020-05-25,1670191.0
United States,2020-06-01,1814872.0
United States,2020-06-08,1959544.0
United States,2020-06-15,2110275.0
United States,2020-06-22,2308053.0
United States,2020-06-29,2586503.0
United States,2020-07-06,2930846.0
United States,2020-07-13,3360256.0
United States,2020-07-20,3829250.0
United States,2020-07-27,4283359.0
United States,2020-08-03,4705268.0
United States,2020-08-10,5085040.0
United States,2020-08-17,5429594.0
United States,2020-08-24,5729043.0
United States,2020-08-31,6019738.0
United States,2020-09-07,6294514.0
United States,2020-09-14,6548677.0
United States,2020-09-21,6852890.0
United States,2020-09-28,7141071.0
United States,2020-10-05,7446971.0
United States,2020-10-12,7799197.0
United States,2020-10-19,8216529.0
United States,2020-10-26,8709253.0
United States,2020-11-02,9329717.0
United States,2020-11-09,10175064.0
United States,2020-11-16,11265499.0
United States,2020-11-23,12481695.0
United States,2020-11-30,13609267.0
United States,2020-12-07,15031055.0
United States,2020-12-14,16539567.0
United States,2020-12-21,18048042.0
United States,2020-12-28,19316550.0
United States,2021-01-04,20819087.0
India,2020-01-27,0.0
India,2020-02-03,3.0
India,2020-02-10,3.0
India,2020-02-17,3.0
India,2020-02-24,3.0
India,2020-03-02,5.0
India,2020-03-09,43.0
India,2020-03-16,119.0
India,2020-03-23,499.0
India,2020-03-30,1251.0
India,2020-04-06,4778.0
India,2020-04-13,10453.0
India,2020-04-20,18539.0
India,2020-04-27,29451.0
India,2020-05-04,46437.0
India,2020-05-11,70768.0
India,2020-05-18,100328.0
India,2020-05-25,144950.0
India,2020-06-01,198370.0
India,2020-06-08,265928.0
India,2020-06-15,343091.0
India,2020-06-22,440215.0
India,2020-06-29,566840.0
India,2020-07-06,719664.0
India,2020-07-13,906752.0
India,2020-07-20,1155338.0
India,2020-07-27,1480073.0
India,2020-08-03,1855745.0
India,2020-08-10,2268675.0
India,2020-08-17,2702681.0
India,2020-08-24,3167323.0
India,2020-08-31,3691166.0
India,2020-09-07,4280422.0
India,2020-09-14,4930236.0
India,2020-09-21,5562663.0
India,2020-09-28,6145291.0
India,2020-10-05,6685082.0
India,2020-10-12,7175880.0
India,2020-10-19,7597063.0
India,2020-10-26,7946429.0
India,2020-11-02,8267623.0
India,2020-11-09,8591730.0
India,2020-11-16,8874290.0
India,2020-11-23,9177840.0
India,2020-11-30,9462809.0
India,2020-12-07,9703770.0
India,2020-12-14,9906165.0
India,2020-12-21,10075116.0
India,2020-12-28,10224303.0
India,2021-01-04,10356844.0
Brazil,2020-01-27,0.0
Brazil,2020-02-03,0.0
Brazil,2020-02-10,0.0
Brazil,2020-02-17,0.0
Brazil,2020-02-24,0.0
Brazil,2020-03-02,2.0
Brazil,2020-03-09,25.0
Brazil,2020-03-16,200.0
Brazil,2020-03-23,1924.0
Brazil,2020-03-30,4579.0
