task,date,start,duration
Task 1,2021-01-04,0.0,30.0
Task 1,2021-01-11,0.0,32.0
Task 1,2021-01-18,0.0,34.0
Task 1,2021-01-25,0.0,36.0
Task 1,2021-02-01,0.0,38.0
Task 2,2021-01-04,20.0,40.0
Task 2,2021-01-11,20.0,40.0
Task 2,2021-01-18,25.0,40.0
Task 2,2021-01-25,25.0,38.0
Task 2,2021-02-01,25.0,40.0
Task 3,2021-01-04,5.0,100.0
Task 3,2021-01-11,5.0,100.0
Task 3,2021-01-18,5.0,100.0
Task 3,2021-01-25,5.0,110.0
Task 3,2021-02-01,5.0,120.0
Task 4,2021-01-04,80.0,60.0
Task 4,2021-01-11,80.0,60.0
Task 4,2021-01-18,80.0,60.0
Task 4,2021-01-25,80.0,60.0
Task 4,2021-02-01,80.0,60.0
Task 5,2021-01-04,50.0,40.0
Task 5,2021-01-11,50.0,40.0
Task 5,2021-01-18,50.0,40.0
Task 5,2021-01-25,60.0,50.0
Task 5,2021-02-01,60.0,50.0
